skill_name
.net core
2d game design
3d game design
3d modeling
3d rendering
accounting
actuators control
adaptability
adobe xd
affiliate marketing
after effects
after effects expressions
agile
ai tools
airflow
airtable
ajax
algorithms
android studio
angular
animation
ansible
api design
api gateway
api integration
api testing
ar development
ar/vr interaction design
arduino
argocd
asana
assembly language
astro
attention to detailaa
authentication
authorization
automation testing
automl
aws
aws ecs
aws lambda
azure
azure devops
bard
bash
bigquery
blender
blynk
bootstrap
brand identity
bullMQ
burp suite
business analysis
business intelligence
c programming
c#
c# scripting
c++ game programming
c++ programming
caching
canva
character animation
chatbots
chatgpt
chroma
ci/cd
clickup
cloud iot integration
cloud security
cloudflare
cloudformation
collaboration
communication
computer vision
conflict resolution
confluence
content marketing
continuous improvement
creativity
critical thinking
cross-functional collaboration
cross-platform development
cryptography
css
customer relationship management
cypress
dart
data cleaning
data modeling
data pipelines
data reporting
data structures
data visualization
database design
databricks
decision making
deep learning
design patterns
design systems
design thinking
devops
digital marketing
distributed systems
distributed tracing
django
docker
docker compose
dvc
edge computing
eks
elastic siem
elasticsearch
electron
email marketing
embedded c
embedded systems
emotional intelligence
endpoint security
erp systems
esp32
esp8266
ethical hacking
excel
excel modeling
express.js
facebook ads
faiss
fargate
feature engineering
feature store
figjam
figma
figma plugins
financial planning
finops
firebase
firewalls
flask
flutter
forecasting
framer
freshdesk
game asset design
game development
game optimization
game physics
game ui
git
github
github actions
gitlab
go
google ads
google analytics
google cloud platform
google cloud run
google data studio
grafana
gRPC
graphql
graphql subscriptions
html
hubspot
hugging face
hugging face transformers
i2c
ids
illustrator
image processing
incident response
indesign
information security
integration testing
interaction design
interrupt handling
ios development
iot
iot security
ips
iso 27001
istio
java
javascript
jenkins
jetpack compose
jira
jquery
json
junit
kanban
kafka
keil uvision
keras
kotlin
kpi analysis
kubeflow
kubernetes
kubernetes helm
langchain
langgraph
laravel
leadership
level design
llms
load testing
lora
machine learning
manual testing
market research
marketing strategy
matplotlib
mentorship
message queues
metasploit
microcontrollers
micropython
microservices
microsoft azure
miro
mlflow
mlops
mobile ui/ux
monday.com
mongodb
monitoring
motion capture
motion graphics
mqtt
mysql
natural language processing
negotiation
network forensics
network security
next.js
nestjs
nginx
nist framework
node.js
nosql
notion
notion ai
numpy
observability
okrs
oop
openai api
openapi
oracle
organization
owasp
pandas
pcb design
penetration testing
photoshop
php
pinecone
postgresql
postman
power automate
power bi
powershell
premiere pro
presentation
problem solving
product management
project management
prometheus
prompt engineering
proteus
prototyping
public speaking
pulumi
python
pytorch
qradar
query optimization
rag
raspberry pi
react
react native
redis
reinforcement learning
remix
responsive design
rest api
restful apis
restful architecture
risk management
robotics
ros
rtos
ruby on rails
rust
sales
salesforce
sass
scikit-learn
scrum
seaborn
security auditing
selenium
sem
sensors integration
seo
serverless computing
service mesh
servicenow
shell scripting
siem
sketch
slack
smart devices
snowflake
soc operations
social media strategy
sound design
spark
speech recognition
spi
splunk
spring boot
sql
sqlite
sre
stakeholder management
statistical analysis
statistics
storyboarding
svelte
swagger
swift
swiftui
synthetic data generation
systems thinking
tableau
tailwind css
tauri
team leadership
teamwork
technical skills
tensorflow
terraform
testng
thingspeak
threat intelligence
time management
transfer learning
trello
typescript
typography
uart
ui design
unit testing
unity
unreal engine
unreal engine blueprints
usability testing
user research
ux design
vault
vector databases
video editing
vite
vr development
vue.js
vulnerability assessment
waterfall
weaviate
web performance optimization
webassembly
webflow
websockets
wireframing
xcode
zapier
zendesk
zero trust architecture
zigbee
